,condition,date,description,engine hours (total),id,length overall (LOA),make / manufacturer,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,2016-11-21 22:20,"Hey there! I have a 2000 wellcraft Martinique 2600. It has a 7.4 liter mercruiser in it with dual props. One of the nicest engines I've ever owned. It has super low hours, about 210 hours! I have kicker speaker that glow up, aftermarket radio system, and a sub that can be included for the right price. I also have led lighting under the seats etc. This boat does have bed space, microwave, sink, stove, bathroom, ac and all that! Every winter I had it shrink wrapped and winterized. After the winter I had the boat detailed every year I have owned it. The previous owners had the boat on a lift its whole life they barely took it out. I then bought it and continued to keep it on a lift and then moved to school where they don't allow lifts. I now have the boat painted and detailed frequently. This season I replaced the steering wheel and switches and some other stuff to enhance the performance. This boat has a canvas option, the half cover, and the full cover. I always put the full cover on when I left. The boat is missing a rear seat back rest. I am a bit negotiable so call or text me and we will work it out show contact info",210,5880115793,30,Wellcraft,Martinique,$13000,power," (Washington, D.C.)",2000 wellcraft Martinique 2600,https://washingtondc.craigslist.org/doc/boa/5880115793.html,2000
1,excellent,2016-11-21 21:39,"2002 2855 BAYLINER CIERRA MID CABIN EXPRESS  -- VERY CLEAN / LOW HOURS / AIR / GEN / LIFT KEPT $22,500 - TRULY A BARGAIN FOR SUCH A NICE BOAT - A REAL END OF SEASON STEAL !! BEAUTIFUL BOAT -- TRULY IS EQUIPPED WITH EVERYTHING YOU CAN GET -- SALE BY ORIGINAL OWNERS -- ALWAYS LIFT KEPT IN FRONT OF OWNER'S WATERFRONT  HOME AND HARDLEY USED !! -- BUT ALWAYS MAINTAINED AND CARED FOR -- VERY CLEAN AND TRULY TURNKEY LARGE COCKPIT  -  LOTS OF COMFORTABLE GUEST SEATING -- TABLE BIMINI AND FULL ENCLOSURE FULL HELM -- STANDARD DIGITAL DEPTH FINDER -- RAYTHEON VHF -- COMPASS -- GARMIN 76 GPS -- TRIM TABS -- GUEST 10 AMP CHARGER -- HOT AND COLD PRESSURE WATER -- 6 GALLON WATER HEATER LARGE, OPEN, BRIGHT CABIN -- QUEEN BED FORWARD, DINETTE THAT CONVERTS INTO A BED -- NICE MID CABIN -- FULL GALLEY -- 2 BURNER ALCHOHOL / ELECTRIC STOVE -- 12V REFRIGERATOR -- MICROWAVE -- LOTS OF STORAGE PRIVATE, ENCLOSED HEAD WITH SHOWER 7,000 BTU MARINEAAIRR REVERSE CYCLE AIR CONDITINING AND HEAT MERCRUISER 350 MAG MPI V8 -- LESS THAN 200 HOURS TOTAL !! BRAVO 3 OUTDRIVE -- DUAL PROP -- ALWAYS KEPT OUT OF WATER ON THE LIFT KOHLER 5KW GENERATOR WITH KESS THAN 2 HOURS TOTAL !! ENTIRE BOAT JUST CLEANED, WAXED AND DETAILED. BOTTOM AND OUTDRIVE JUST FRESHLY PAINTED -- BEAUTIFUL !! WHAT MORE COULD YOU WANT IN THIS SIZE, TURNKEY, VERY LIGHTLY USED, FULLY OPTIONED - ORIGINAL OWNER  -- GO ANYWHERE EXPRESS CRUISER PLEASE CALL TONY - FOUR 1 OH -- THREE 5 THREE -- FIFTY FIFTY THANK YOU",,5887268806,30,BAYLINER,2855 CERRA,$22500,power," (COLONIAL BEACH, VIRGINIA)",2002 2855 BAYLINER CIERRA MID CABIN EXPRESS - AIR / GEN - A STEAL !,https://washingtondc.craigslist.org/mld/bod/5887268806.html,2002
2,new,2016-11-21 21:09,"Custom Canvas boat cover's / interior and exterior cushion's/ curtain's/ repairs.  Fabric Awning's,Porch enclosure's, custom canvas product's. Check out our face book webpage ... Hampton Canvas Please call or email for free estimate. Diana show contact info",,5879803448,50,Hampton Canvas,Any,,power,,Custom Canvas/ Awning's/Porch Enclosure's,https://washingtondc.craigslist.org/mld/boa/5879803448.html,
3,new,2016-11-21 21:09,"Custom Canvas boat cover's / interior and exterior cushion's/ curtain's/ repairs.  Fabric Awning's,Porch enclosure's, custom canvas product's. Check out our face book webpage ... Hampton Canvas Please call or email for free estimate. Diana show contact info",,5879805176,50,Hampton Canvas,Any,,power,,Custom Canvas/ Awning's/Porch Enclosure's,https://washingtondc.craigslist.org/mld/boa/5879805176.html,
4,,2016-11-21 20:59,"Boat jacket  (coat?)real nice coat,   medium it's a boats work jacket. That's the brand name for those who aren't familiar with the brand. Please text or call no emails please",,5879323421,12,Boats work,Nice,$30,sail, (Alex.),Boat jacket  (coat ?),https://washingtondc.craigslist.org/nva/boa/5879323421.html,2015
5,good,2016-11-21 20:57,"Will swap free use of our Catalina 30' for free use of your dock with water, electric and 6'MLW  -- In West, Rhode, South, Severn or Magothy rivers.   Tall rig, with very low hours on a Moyer rebuilt Atomic 4 gasoline engine, roller furling, bimini, ""Lazy Dutchman"" mainsail lowering system, re-furbished upholstery, wheel steering, VHF, GPS, Depth Sounder, Sony Stereo, and all safety equipment.  If you have some sailing experience, this may be the right boat for you. Looking for a minimum one year commitment.   ""Pop's Dream"" is currently docked on the Rhode River, about ten miles south of Annapolis, at the Holiday Hill Marina (Slip A-24), off of RT 214. Call Bill Kidd on show contact info or show contact info to discuss.",100,5856327921,30,Catalina,Mark I,,sail,,Catalina 30' - Free Use - Dock Swap,https://washingtondc.craigslist.org/mld/boa/5856327921.html,1978
6,good,2016-11-21 20:56,"Catalina 30' tall rig, with very low hours on a Moyer rebuilt Atomic 4 gasoline engine, roller furling, bimini, ""Lazy Dutchman"" mainsail lowering system, re-furbished upolstery, wheel steering, VHF, GPS, Depth Sounder, Sony Stereo, and all safety equipment. Enjoy a one-sixth lifetime equity share in this nicely equipped and seaworthy pocket cruiser. Join this on-going, fun-loving partnership of five other professionals, for a very low cost opportunity to share almost unlimited Chesapeake sailing on this popular cruiser. If you have some sailing experience, this may be the right boat for you. The price includes a pro rata share of dock fees, insurance and maintenance for the rest of the year. ""Pop's Dream"" is docked on the Rhode River, about ten miles south of Annapolis, at the Holiday Hill Marina (Slip A-24), off of RT 214. Call Bill Kidd on show contact info or show contact info to discuss.",100,5856333410,30,Catalina,Mark I,$2500,sail," (Edgewater, MD)",Catalina 30' - Equity Share Ownership,https://washingtondc.craigslist.org/mld/boa/5856333410.html,1978
7,excellent,2016-11-21 20:54,"Beautifully restored 1980 25' Catalina docked in Annapolis, MD. Rare pop top cabin swing keel with tall rig. Turnkey and fully loaded. NOT a project boat! Includes 4 (main and 3 head sails) gently used to new condition sails. New 2015 motor and batteries with less than 24 hours of use. All new top and bottom paint. All new 2016 interior cushions from Catalina. 2 berths;  sleeps 4. New full head. Interior and exterior teak in excellent condition. Must see! $27K OBO. For more information, additional pictures, and to schedule a tour, please contact us.",24,5887325025,25,Catalina,C-25,$27000,sail," (Annapolis, MD)","Beautifully Restored 1980 25ft Catalina ""Pop Top""",https://washingtondc.craigslist.org/mld/boa/5887325025.html,1980
8,,2016-11-21 20:34,"Priced low to get them out of my storage space!! I have two Kayaks that are identical and come with Bildge Pump, splash skirt, paddles rudder, adjustable foot rests,rear storage. ~13ft Been kept indoors and in great condition.  $215 each  I could sell these for $500-600 if I wait until spring but I need them gone.  My loss is your gain!",,5860687376,13,,,$215,human, (Warrenton),Two Kayaks in Great Condition - 13',https://washingtondc.craigslist.org/nva/boa/5860687376.html,
9,excellent,2016-11-21 20:26,"This is a  Beautiful 38 Express Cruiser, loaded with twin Yanmar Diesal engines that push you to speeds in excess of 70 mph with a cruising speed of 55 mph, These fuel efficient diesel engines will give you added dependability and extend your range to 500 miles due to a  highly efficient hull design. Down below you will find a forward cabin with V-berth bed, dresser, cedar lined locker, full head with vacuflush toilet, sink, shower, galley with sink, microwave oven, refrigerator with freezer compartment, and cabin sleeper. The spacious cockpit boasts seating for 10 with an electric drop-down side by side bolster seat at the helm, U-shaped entertainment seating, and wet bar with ice maker. The standard full canvas with camper enclosure combined with a Mase 3500 watt generator, 1500 watt inverter system and air conditioning/heat enables you to enjoy boating in all types of weather. She also comes equipped with Mercury Racing Props, and a full set of electronics including weather radard, Gps and a fish finder.  As you can see she has been very well taken care of inside and out. A trailer is also available!",,5887295246,38,Fountain,38 Express,$129000,power,,38' Fountain Express 2002,https://washingtondc.craigslist.org/mld/boa/5887295246.html,2002
