,condition,coord_pair,date,description,id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['32.260400', '-90.089700']",2016-12-20 15:13,"Great shape. 601 two146050. 2006. 230 hp 4.3 Volvo Penta. 120hrs. everything works like it should. No issues at all, just waiting on warm weather. Price is firm.",5912725404,32.260400,19,-90.089700,,"https://maps.google.com/maps/preview/@32.260400,-90.089700,16z",,$11500,power,,Four Winns Horizon 190 *reduced*,https://meridian.craigslist.org/boa/5912725404.html,
1,excellent,,2016-12-19 19:46,"Lightly used Kayak, entirely on creeks. Excellent condition and will sell with paddle.",5926258866,,10,,,,,$75,human, (Dalewood),10' Kayak,https://meridian.craigslist.org/boa/5926258866.html,
2,,"['34.831700', '-86.886700']",2016-12-18 14:32,"Looking to trade my classic 1940 Plymouth business coupe street rod for a nice 18' - 21' Dual console Nitro - Triton - Skeeter 150 - 200 hp motor (low hours) swing away tongue, Boat must be of equal value I have a 1940 Plymouth business coupe (no back seat) older restorarion about 11 yrs ago Paint is good with some minor body filler blimishes, no rust or bubbles, prefectly straight steel body and lines (has to be to be black and I mean it is BLACK) driver door window is cracked 15"" cragars (7"" on front / 8"" on rear) new tires nova frontend, camaro rearend all chrome good/new 350 vortec, mild cam, headers, new edelbrock, bored 30, forged pistons (97 camaro) 5 speed manual transmission fuel cell all new gauges that work, new electric wiper motor turn signals, interior lights all work Ididit tilt steering colum power steering (pinky steering), power disc brakes, heater (no ac) new exhaust, pipes ran zig zag through the frame new custom interior (no seat belts) trunk needs carpet runs and drives perfect, strong and fast, temp runs 175-180 on these hot days Not to many of these around especially in this shape, all steel body. I believe you could drive this car anywhere, a little over 2,600 miles on this car now. Sells with Bill of Sale, no title,. Please reply by sending pics and info by email through CL",5915051620,34.831700,18,-86.886700,,"https://maps.google.com/maps/preview/@34.831700,-86.886700,16z",,$20500,power, (Athens Al),Trade for Bass Boat.......,https://meridian.craigslist.org/boa/5915051620.html,
3,,"['32.156300', '-88.847400']",2016-12-08 13:09,I have a 1971 can cutter the boat is in great shape. It has one soft spot in floor easy fix. Motor needs some work. I have all the parts to fix it. Will negotiate on price. Six / zero/ one/ 604 3473. It has a 50 hp evinruge motor all running lights work.  It also has 4 anchor cranks mounted on boat. It has a troller motor that works perfect. Trailer is in great shape.,5911065413,32.156300,16,-88.847400,,"https://maps.google.com/maps/preview/@32.156300,-88.847400,16z",,$500,power, (Enterprise),1971 can cutter boat,https://meridian.craigslist.org/boa/5911065413.html,
4,good,"['32.148900', '-89.001100']",2016-12-06 09:04,"Have not ran in 3 years, shed kept but not running. Trailer also included, cosmetics look great. Firm on price!",5907709046,32.148900,10,-89.001100,Bombardier,"https://maps.google.com/maps/preview/@32.148900,-89.001100,16z",Seadoo,$500,power,,Jet ski/ seadoo bombardier xp,https://meridian.craigslist.org/boa/5907709046.html,1998
5,like new,"['30.848558', '-88.059347']",2016-12-04 15:10,"Honda  O B 4 stroke 20 HP 2010  motor is in like new condition........very low hours with manual pull start and shift......comes with the gas tank only 100% eth, free gas been run in motor. priced at$2175.00......you can call me at show contact info anytime after 9am and before 8pm.........I will NOT  answer TEXTS OR EMAILS ...................thanks",5905329234,30.848558,20,-88.059347,HONDA,"https://maps.google.com/maps/preview/@30.848558,-88.059347,16z",4 STROKE,$2175,power," (satsuma,al)",HONDA O B  4 STROKE,https://meridian.craigslist.org/boa/5905329234.html,2010
6,excellent,"['30.138714', '-84.311914']",2016-11-30 20:42,"Stow Away Marine & More Conveniently Located near the water! The Location of your next boat, or boat service. This is what we have for you today! 14' FIBERGLASS JON BOAT 20HP THIS IS A VERY ECONOMICAL BOAT THAT IS NOT ONLY GREAT IN THE RIVER, BUT WILL DO VERY WELL AS AN INSHORE BAY BOAT. ALL AT AN INEXPENSIVE PRICE! $2500.00 BOAT FEATURES: -20 HP Johnson Motor -Single Axle Trailer -1 new fold Down Swivel Fishing Chair -Navigation & Docking Lights -Bow Storage -6 Gallon Fuel tank -$2500.00 Great Customer Service! From prop to T-top we do a full inspection and service of all boats in our inventory so that you are happy with a lasting boat for a great price. Financing is Available! Reasonable Trades and Offers Considered. PLEASE VISIT OUR WEBSITE AT: www.stowawaymarine.net Stow Away Marine & More, Inc. 4815 D Coastal Hwy, Crawfordville, Florida 32327 Located beside the Chevron on the corner of Spring Creek Hwy and Hwy 98. Gerard Cell: show contact info Shop: (850) 926-BOAT (2628)",5900014939,30.138714,14,-84.311914,,"https://maps.google.com/maps/preview/@30.138714,-84.311914,16z",,$2500,power, (Crawfordville),Jon Boat 14' w/ Mercury 20HP,https://meridian.craigslist.org/bod/5900014939.html,
7,excellent,"['30.139753', '-84.310884']",2016-11-30 19:32,"Stow Away Marine & More Conveniently Located near the water! The Location of your next boat, or boat service. This is what we have for you today! This Old Town Discovery 164 Canoe 16' is in great shape. More than enough room for 2 people. Very nice, solid Canoe for maneuvering through the waterways of Florida! Great Customer Service! From prop to T-top we do a full inspection and service of all boats in our inventory so that you are happy with a lasting boat for a great price. Financing is Available! Reasonable Trades and Offers Considered. PLEASE VISIT OUR WEBSITE AT: www.stowawaymarine.net Stow Away Marine & More, Inc. 4815 D Coastal Hwy, Crawfordville, Florida 32327 Located beside the Chevron on the corner of Spring Creek Hwy and Hwy 98. Gerard Cell: show contact info Shop: (850) 926-BOAT (2628)",5900002257,30.139753,16,-84.310884,OLD TOWN,"https://maps.google.com/maps/preview/@30.139753,-84.310884,16z",Discovery,$600,human, (Crawfordville),OLD TOWN Discovery Canoe,https://meridian.craigslist.org/bod/5900002257.html,
8,good,,2016-11-30 17:59,"Nice 1982 Ski Nautique model 2001 -Strong 302 V8 motor. Great on gas, lots of power. Starts every time. Never had any problems. -Wakeboard tower included with purchase. No holes in boat, the tower is not attached. -Skis, rope, and tube included. -Reason for sale is I moved off the lake. Thanks for the interest and I look forward to hearing from you.",5899951656,,21,,Ski Nautique,,2001,$4500,power, (Meridian),1982 Ski Nautique 2001,https://meridian.craigslist.org/boa/5899951656.html,1982
9,,"['31.628391', '-88.330593']",2016-11-30 09:37,1995 dynatrak bass boat 18ft with 150 mercury text or call show contact info,5899083073,31.628391,18,-88.330593,,"https://maps.google.com/maps/preview/@31.628391,-88.330593,16z",,$5500,power,,Bass boat,https://meridian.craigslist.org/boa/5899083073.html,
10,,,2016-11-29 12:55,"I build heavy duty aluminum boats custom built to your specifications. We sell our boats to people all over the country. Serious calls only*Call only during business hours Monday-Friday 7:00am-5:00pm- Please visit our website below https://sites.google.com/site/custombuiltaluminum/ Monday-Friday 7:00am-5:00pm show contact info Located in Long Beach, MS..................Home of the ""Long Beach Boat"" Like us on Facebook ""Long Beach Aluminum Boats"" Long Beach, MS bow fishing boats /custom boat builder heavy duty aluminum boats /commercial boats duck boats/ work boats/ tunnel hull/ jon/ bardge",5866915810,,23,,,,,,power,,Aluminum boats *custom*,https://meridian.craigslist.org/bod/5866915810.html,
