,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,new,"['32.726952', '-117.224624']",2016-12-20 02:28,"NEW** UNDERWATER LED LIGHT BY AQUALUMA GEN4 12 SERIES - WHITE The 12 Series is a serious light designed to illuminate larger boats and is a larger thru-hull option. With a corrosion-proof, injection-molded, patented polymer housing and is internally driven and maintainable. The 12 series (which means 12 LED lights) is recommended for 40 - 100 ft. boats. TECHNICAL SPECS: 3608 lumens 6 year warranty High-Tech chemically resistant polymer housing Internally serviceable and upgradable 12 or 24 volt dc Current draw of less than 2.0 amps @ 12 volt or 1.0 amp @ 24 volt No bonding to anodes required Meets world EMI standard No lens seals to deteriorate or leak Serviceable driver module 3.7 metre (12 feet) of tinned marine cable Easy low cost 2-wire installation 75mm/3"" thru-hull fitting External ignition protection Throws both a deep penetrating and wide flat beam of light from the one unit Combination optic with increased horizontal spread $575 obo show contact info",0,5926533631,32.726952,0,-117.224624,aqualuma,"https://maps.google.com/maps/preview/@32.726952,-117.224624,16z",GEN 4 SERIES 12,$575,power, (San Diego),NEW** UNDERWATER LED LIGHT BY AQUALUMA GEN4 12 SERIES - WHITE,https://imperial.craigslist.org/boa/5926533631.html,2016
1,excellent,"['32.632843', '-117.133202']",2016-12-19 12:40,"The cruiser has been a beautiful substitute of the expensive hotel rooms. The gyms,tennis, beach,pools, spas, and twenty percent off lots of hotel benefits that are not usual at most marinas. My children,grandchildren and great grandchildren are going to miss what has been the best times in there lives. Call me and I will get you a meeting or call from the marina manager Fred who I have known for 30 years. The specs on the boat are all furniture in and out goes with the boat. A special large Direct TV with  satellite antenna is rare on boats.The boat has 3 br 2 ba with plenty of room for parties.  Please call me for further info and pics.",840,5925880044,32.632843,51,-117.133202,Bluewater,"https://maps.google.com/maps/preview/@32.632843,-117.133202,16z",Cruiser,$115000,power, (Coranado Loews Marina),Bluewater Cruiser,https://imperial.craigslist.org/boa/5925880044.html,1986
2,excellent,"['32.632843', '-117.133202']",2016-12-19 12:39,"The cruiser has been a beautiful substitute of the expensive hotel rooms. The gyms,tennis, beach,pools, spas, and twenty percent off lots of hotel benefits that are not usual at most marinas. My children,grandchildren and great grandchildren are going to miss what has been the best times in there lives. Call me and I will get you a meeting or call from the marina manager Fred who I have known for 30 years. The specs on the boat are all furniture in and out goes with the boat. A special large Direct TV with  satellite antenna is rare on boats.The boat has 3 br 2 ba with plenty of room for parties.  Please call me for further info and pics.",840,5925879745,32.632843,51,-117.133202,Bluewater,"https://maps.google.com/maps/preview/@32.632843,-117.133202,16z",Cruiser,$115000,power, (Coranado Loews Marina),Bluewater Cruiser,https://imperial.craigslist.org/boa/5925879745.html,1986
3,excellent,[],2016-12-18 09:31,"1998 Team Hawaiian 24' open bow jet boat for sale. Apox. 20 hours on completely rebuilt pump. 502 HP big block. Garage kept, excellent cond.",260,5909187039,,24,,Team Hawaiian,https://maps.google.com/?q=loc%3A+%39%35%34%39+Gidley+St%2E+Temple+City+CA+US,Euro jet 24,$15000,power, (Temple City),24' Team Hawaiian Open Bow for Sale,https://imperial.craigslist.org/boa/5909187039.html,1998
4,,,2016-12-17 19:59,"For sale is my 1989 21ft commander conquest boat. Has a cobra 5.7L v8 engine with a omc outdrive. Just recently had the outdrive serviced and replaced everything internally with new bellows and bearings. Also replaced all hoses, water pump, thermostat, and gaskets on exterior of the motor. Interior is a 7/10 was recently done a few years back. I replaced the carburetor a few years back to a news oem one. Has 2 20gal fuel tanks, seats 8 people, has a amp, 4 speakers and 1 subwoofer! Trailer is ready to go with great tires on it and boat has a nice matching cover!  Very fun and reliable boat! Only reason I'm selling is I would like a newer wake/surf boat. Sorry no trades unless you have a boat with the prop underneath the boat. Located in Victorville, Ca contact Michael at show contact info",,5923847408,,21,,Commander,,Conquest,$8500,power, (High desert),21 ft commander conquest boat v8,https://imperial.craigslist.org/boa/5923847408.html,
5,,"['32.670523', '-117.100338']",2016-12-17 19:15,1995 Trophy 20' walk around cabin with 120hp outboard good compression can start motor and galvanized trailer ( good tires). Boat is in good shape good for family fishing or just hanging out or hitting the ocean for some big game fishing. Lots of room to walk around. Both the boat and the trailer have clean titles and are currently registered... Only serious buyer show contact info Se Habla Espanol. Boat comes with; 1. Fish finder 2. Bait tank 32gallons 3. VHF & Antenna 4. Anchors 5. Life vest 6. Two swivel seats 7. Two rear and one front seat cushions 8. One new battery 9. Small toilet 10. Bimini top 11. Two large live wells 12. Stereo with two new speakers,,5923819245,32.670523,1,-117.100338,,"https://maps.google.com/maps/preview/@32.670523,-117.100338,16z",,$6500,power, (national city),1995 Trophy 20' walk around cabin with 120hp outboard,https://imperial.craigslist.org/boa/5923819245.html,
6,good,"['32.789300', '-115.566500']",2016-12-15 13:46,"For sale is a 2006 Pontoon boat ( G3 208 Fish and Cruise) 20feet long with a 90 HP Outboard motor (F90TLR- manufactured in 2007). Annual servicing has been done, single owner, low hours mostly on the Colorado river. Great for the river, lake or bay! Comes with trailer. Call or text for additional information or to come view.",,5920879619,32.789300,20,-115.566500,G Three,"https://maps.google.com/maps/preview/@32.789300,-115.566500,16z",Fish and Cruise 208,$11500,power, (El Centro),G3 Pontoon Boat with 90Hp motor,https://imperial.craigslist.org/boa/5920879619.html,2006
7,,"['33.945500', '-117.375700']",2016-12-14 09:28,1997 Seadoo Bombardier it needs a battery and a gas fill hose from fill hole to tank and probably a carb clean don't have the time to work on it and need it gone 200 OBO!!!!!!,,5886706985,33.945500,7,-117.375700,Seadoo,"https://maps.google.com/maps/preview/@33.945500,-117.375700,16z",Bombardier,$200,power,,Seadoo,https://imperial.craigslist.org/boa/5886706985.html,
8,,,2016-12-13 06:53,"27' Sun Tracker Commander Series Pontoon seats 15-16 person/2100 lbs. has 3.0 I/O great fuel economy 30/gal tank, nice clean running boat, tons of storage, stereo w/I-Phone USB, ladder, life jackets all required equipment on board. Must be over 21 24' Aqua Patio Pontoon seats 12-14 person, has 3.0 I/O great fuel economy 34/gal tank, nice clean running boat, stereo w/I-Phone USB, ladder, life jackets all required equipment. Must be over 21 RATES $250.00 M-Thurs. / $260.00 Fri-Sun / $300.00 Events & Holidays plus fuel Small deposit required. Cash Money Orders Only please. Send e-mail for additional Info or for specific Quote for your needs or Package Deal on Both 28' Wildwood Travel Trailer w/Slide Sleeps 6 People, Has Queen Size Walk around Bed, Sofa Pulls out to a Full Size Bed, Dinette to Bed, and Comes with All Camping Basics Cookware in Kitchen and Bedding / Linens, Coffee Pot, Blender, Toaster. All Equipment in Working Order with Ducted A/C & Heater, Micro, Propane Stove/ Oven, Frig, Tub/Shower, Table, Flat Screen TV, Dir TV Dish Set Up and Propane BBQ Avail upon Request for additional Fee. Two Propane tanks, Battery, Double Door Entry and new Awning. Can Deliver to your site and set up. Rates: $110.00 M-Thurs. $125.00 Fri-Sun, Events & Holiday's $135.00 per night 2-Night Min, $45.00 Non-Refund Clean Fee Please e-mail with any additional questions or for a quote. For Home Rentals see web site Info: roadrunnersroost.com or vacationhomerentals.com/73717 Jet Skis, Pontoon Boat Rentals, RV, Travel Trailer Rentals, vacation homes Ã¢€Â¢do NOT contact me with unsolicited services or offers",,5881307780,,27,,,,,$250,power," (Lake Havasu City, AZ)","Pontoon Boats, Vacation Homes, Travel Trailers, Rentals",https://imperial.craigslist.org/boa/5881307780.html,
9,excellent,"['32.906686', '-114.460030']",2016-12-11 06:21,"Lund pro pike 14', 25hp Evinrude, EZ Load trailer, trolling motor and accessories.",,5914714986,32.906686,14,-114.460030,,"https://maps.google.com/maps/preview/@32.906686,-114.460030,16z",,$2500,power," (Yuma, Az)",14' LUND PRO PIKE BOAT W/Motor,https://imperial.craigslist.org/boa/5914714986.html,
