,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 19:26,2002 Bayliner  Rendezvous 2190 in  excellent condition has the mercruiser 5.0 spot for a cooler and a port a potty on board asking $12000.00,,5896739467,,21,,,,,$12000,power, (Mexico),2002 Bayliner  Rendezvous 2190,https://columbiamo.craigslist.org/boa/5896739467.html,
1,,[],2016-12-20 15:40,"Meet the aluminum bass boat heavyweight champ: the 2017 Stinger 178. Designed with best-in-class features, it delivers more fish-fighting deck space, more fishing features, impressive horsepower and more. The Stinger 178 features a super-wide 94"" beam to provide 75 square feet of fish-fighting space. A top-rated 90 horsepower Mercury outboard gets you to the fish fast and can handle higher speeds, greater stresses, and bigger fishing action than the competitors. A premium fiberglass console with metal flake finish includes a huge storage space for gear and lure trays. Angler centric seats are more usable and comfortable than ever for longer days on the water. This is the serious tournament-style bass boat designed to knock out the competition. Comes with: Standard Features: Metal flake fiberglass console w/ windscreen Lowrance Hook - 3x FishFinder 2 fold down fishing seats Bow aerated livewell w/divider (24 gallon) Built in fuel tank (19 gallon) Stern aerated livewell w/divider (24 gallon) Recirculating Aft Livewell Locking Side Rod locker with rod tubes (1) 7' (4) 8' Recessed trolling motor foot pedal Upgraded Features: Chrome spare tire with backmount Tilt steering Motorguide X5 70# 45"" 24v Trolling Motor Ratchet cover 2 Bank battery charger FINANCING AVAILABLE.......CALL US TODAY!! show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info www.AnglersPortMarine.com",,5927304873,,18,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2017 Lowe ST178 w/ 90hp Mercury Four Stroke....what a boat!,https://columbiamo.craigslist.org/boa/5927304873.html,
2,good,,2016-12-20 14:48,"V6 150 horse hydraulic trim fish finders, minkota trolling motor,fish finders, took on trade for a 4x4 truck. Open to offers/trades will add pics or text for pics",,5927266997,,18,,Glasstron,,,$2000,power, (Fulton),1987 Gladstone 18' bass boat obo,https://columbiamo.craigslist.org/boa/5927266997.html,1987
3,excellent,[],2016-12-20 14:07,Very clean Jet Ski.  (Trailer shown in picture is not the trailer that will be sold with it.  It will be sold with a single jet ski trailer.),,5899214723,,9,,Kawasaki,https://maps.google.com/?q=loc%3A+%31%30%31%39+Highway+%32%34+W+Moberly+MO+US,900ZXI,$2950,power, (Moberly),1995 Kawasaki 900ZXI Jet Ski,https://columbiamo.craigslist.org/boa/5899214723.html,1995
4,,"['38.983900', '-91.508500']",2016-12-20 13:59,"2006 four wins 274 funship deckboat, powered by 300hp merc 350 mag b3. Price includes trailer. Boat has porta potty with pump out, huge swim platform with ladder, clarion stereo, water system, bow and cockpit covers, bimini top, built in cooler, dual batteries with switch, 143 hours!!! motivated seller call Dave@ show contact info",143,5888336413,38.983900,27,-91.508500,,"https://maps.google.com/maps/preview/@38.983900,-91.508500,16z",,$29900,power, (MONTGOMERY CITY),2006 FOUR WINNS 274 FUNSHIP DECKBOAT,https://columbiamo.craigslist.org/boa/5888336413.html,
5,,,2016-12-20 00:07,"I have for sale a 1986 Ranger 375V. It has a strong running 1986 Johnson GT150 that is just a few years from a fresh rebuild. It all sits on a 2000 Ranger Trail trailer. The 375V is 17' 10"" long, has a 88"" beam, and twin 12 gallon tanks in the rear. Honestly... the seats are the worst part of this boat. Dont get me wrong, they are VERY usable, but the seams are giving way due to age, and I know cosmetics are important to a lot of people, so I wanted to state that up front. Everything on this boats works, and works well, that I am aware of. Thats not a way to side step anything, it just means that I have yet to this day, to throw a switch, and have something fail to work. Everything below is new and recently installed. Brand New: Minn Kota Terrova 80/24/45""/US2 trolling motor with remote (used once) Ram Mount TM Bounce Buster Helix 7 Sonar/GPS (Never used) Ram Mount for Helix 7 (can be spun around and faced forward when fishing) Minn Kota 330 Onboard Charger TH Marine Motor Trim Switch (these boats came without trim switches at the rear of boat) Splashwell Port W/Cover (To Access Charger Cord) Rear Boat Buckles Rod Buckle (Front Deck -- Starboard Side) Hydraulic Cylinder Type Motor Support (Also comes with traditional transom saver) Fulton Winch & Strap Winch Roller Keel Saver LED Tail Lights 1 -- 12V Power Ports 2 -- Fold-up Drink Holders I also have over 3/4's of a gallon of Evinrude/Johnson XD30, 2 stroke oil, which is what has always been run in the motor. I also have a bottle of Mercury Quickleen and a bottle of Starton concentrated. I ran the Quickleen and Startron in any gas I put in the boat. It has a 3 blade stainless prop and will run 55mph (GPS) loaded down. Im not going to lie to you like most do, and tell you this 150HP motor, will push this older, heavier hull 65 -- 70mph. Its never going to happen. But this boat planes out good and handles great. Not saying you couldnt get more out of it if you tweak it etc... But without any motor jack or tweaking, it will run 55 easy when loaded. It also comes with a 4 blade stainless prop, if you want to use it to ski/tube etc... This boat/motor/trailer has over $2,500 in brand spanking new parts alone. I am asking $5,250 for it and I am firm on price as the boat/motor/trailer alone is worth $3,500 - $4,500 without all the new equipment. If you are reading this, its still for sale. No low ball offers, no trades, and I dont need help selling it. I have all 3 clean Missouri titles in hand, ready to go to the first person who has the cash! Put 375V in the subj so I know you arent spam. Thanks for looking!",,5920657586,,18,,Ranger,,375V,$5250,power, (Wright City),1986 Ranger 375V,https://columbiamo.craigslist.org/boa/5920657586.html,1986
6,fair,"['38.629700', '-92.399500']",2016-12-19 21:54,16' Deckboat and trailer for sale. No motor. Needs restoration. Need it gone as soon as possible. Make offer.,,5926368538,38.629700,16,-92.399500,Buccaneer,"https://maps.google.com/maps/preview/@38.629700,-92.399500,16z",,,power,,16' Buccaneer Deck Boat,https://columbiamo.craigslist.org/boa/5926368538.html,
7,good,"['38.291100', '-92.705900']",2016-12-19 18:12,6000 # boat lift for sale.  Currently in a 12 x 32 slip in Rocky Mount Mo.  Just bought home and need a bigger lift.  The lift has decal of Big Island sales inc. on the pump.  The lift does have one large. plastic tank.    I have pictures on my phone and can forward as needed.,,5926161935,38.291100,12,-92.705900,,"https://maps.google.com/maps/preview/@38.291100,-92.705900,16z",,$2750,power, (Rocky Mount),6000 # boat lift with poly tank,https://columbiamo.craigslist.org/boa/5926161935.html,
8,,"['39.420200', '-92.435800']",2016-12-19 13:09,97 Yamaha wave venture 3 seater with reverse does not run has title Probley an easy fix,,5925737185,39.420200,9,-92.435800,yamaha,"https://maps.google.com/maps/preview/@39.420200,-92.435800,16z",wave venture,$400,power, (moberly),97 Yamaha wave venture,https://columbiamo.craigslist.org/boa/5925737185.html,1997
9,excellent,"['39.420200', '-92.435800']",2016-12-19 12:59,96 Seadoo Xp 787 perfect condition no problems runs great no title but do have bill of sale,,5915528343,39.420200,9,-92.435800,seadoo,"https://maps.google.com/maps/preview/@39.420200,-92.435800,16z",Xp 787,$800,power, (moberly),96 Seadoo xp,https://columbiamo.craigslist.org/boa/5915528343.html,1996
