,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['26.139461', '-81.768264']",2016-12-18 21:18,Like new fresh water hurricane Covers Gps Bimini Trailer extra 1500,,5887158085,26.139461,19,-81.768264,,"https://maps.google.com/maps/preview/@26.139461,-81.768264,16z",,$27500,power, (Naples),2015 Hurricane 187 w150 4 stroke 75hrs,https://fortmyers.craigslist.org/col/boa/5887158085.html,
1,,"['26.152900', '-81.741700']",2016-12-18 21:18,clean low hour boat dual gps fish finders hard top stereo bathroom live wells hydraulic trim tabs hydraulic steering underwater light front bimini no trailer,,5919035636,26.152900,25,-81.741700,,"https://maps.google.com/maps/preview/@26.152900,-81.741700,16z",,$64900,power, (naples),2014 Tidewater 250 CC Twin 150 4 strokes under warranty only 106hrs,https://fortmyers.craigslist.org/col/boa/5919035636.html,
2,good,,2016-12-18 21:18,I have a 2003 18ft sea fox flats boat. It has a 2003 115 Mercury on it with just above 400 hours on it. I also just got it serviced and it is always flushed out after being on the water. Boat was rewired about 6 months ago as well. Single axel trailer is included. Comes with boat cover that covers the whole boat including poling platform - 3 storage wells - 2 30 gallon live wells with year old pumps and hosing - 82lb thrust trolling motor with 2 on board charging batteries underneath center console with a easy plug in on the side of the console - 2 speakers that are wired just need a radio - 10 rod holders (4 on console and 6 in rod closet) - has bilge pump - 2 house batters underneath seat - led lights on console and underwater led lights - jack plate and trim tabs needs stern light Text Leo at 239-770-5893 if you have any questions,400,5924915861,,18,,Seafox,,18ft flats boat,$10500,power, (Cape Coral),2003 sea fox flats boat,https://fortmyers.craigslist.org/lee/bod/5924915861.html,2003
3,like new,[],2016-12-18 21:11,"Jet ski floating dock, Jet Dock system, great shape I just don't need it any longer, 12 ft long.",,5924910484,,12,,Jet Dock,https://maps.google.com/?q=loc%3A+Santa+Monica+Ct+at+Sorento+Ct+Cape+Coral+FL+US,,$800,human, (Cape Coral),Jet ski floating dock,https://fortmyers.craigslist.org/lee/boa/5924910484.html,
4,like new,"['26.606500', '-81.950200']",2016-12-18 20:54,"51Hours Excellent condition Blue imron,white interior 6.2 liter Mercury",51,5924895633,26.606500,24,-81.950200,Formula,"https://maps.google.com/maps/preview/@26.606500,-81.950200,16z",240BR,$74000,power, (Fort Myers),2016 Formula 240BR,https://fortmyers.craigslist.org/lee/boa/5924895633.html,2016
5,like new,"['26.435525', '-81.906238']",2016-12-18 20:46,"2017 South Bay Tritoon 24 ft 150 Yamaha with 22 hrs and just had 1st service Has fish finder/depth Blue tooth stereo with 4 speakers Floor mood lighting Small live well hidden under the seat Pop up potty/changing room Bottom paint No trailer Comes with all Coast Guard required equipment NEEDS TO GO and PRICED TO SELL The price is firm, I paid  $48k just several months ago My unfortunate loss will be your gain",22,5924889363,26.435525,24,-81.906238,South Bay,"https://maps.google.com/maps/preview/@26.435525,-81.906238,16z",Tritoon,$37500,power, (Ft Myers Beach),2017 South Bay Tritoon 24ft,https://fortmyers.craigslist.org/lee/boa/5924889363.html,2017
6,,,2016-12-18 20:42,"Moving and must sell! 2016 Yamaha WaveRunner V1. Extremely fast, garage kept. Includes Trailer and Extended Warranty. Included are 6 bumpers, safety horn, key and whistle lanyard. And beach tie down. Fast and very maneuverable. Sharp turning and perfect for personal use or vacation rental. All maintenance performed at regular intervals. Low hours. Serious buyers only. NO DEALERS AND NO TRADE! We are moving and cannot take it with us. Dealers are not allowed to contact me unless cash buyer. Price is firm as I have paid taxes already. Save money on a new ski. Better buy. $8,800. No bartering. Too nice.",30,5918749450,,17,,Yamaha,,V1 WaveRunner,$1,power, (Fort Myers),2016 Yamaha Waver Runner,https://fortmyers.craigslist.org/lee/boa/5918749450.html,2016
7,good,,2016-12-18 20:38,"REDUCED TO ONLY $2,895 FOR FAST SALE!!!!!!! 1997 Larson 17' 11"" Open Bow Runabout. Priced to sell fast. $896.00 in recent receipts (see attached) so this boat runs like new and is ready to go. Interior seating starting to come apart so it needs recovering which is why the cheap price. Clear title on the boat but no title or registration for trailer, just bill of sale. I own 5 boats and don't have the room to store this which is also why the cheap price. Recent work done by Gator Marine and I will give you their number if you want to call and ask them how it runs. You will be impressed.  If you're looking for a very affordable boat that you can start having fun with today, this is it. Price is firm, cash only please. What is rock solid with fiberglass floors so I'm nothing to rot out and transom is excellent. 110 hp. Everything works. You will not find a better boat for this money in the State of Florida I guarantee it! Contact: Dave Dettmann at show contact info (call or text)",,5906022762,,17,,Larson,,1711,$2895,power, (Cape Coral),1997 Larson 18' Open Bow Runabout,https://fortmyers.craigslist.org/lee/boa/5906022762.html,1997
8,,"['26.606500', '-81.950200']",2016-12-18 20:37,"Custom Aronow Cat open bow with 20 speaker stereo system. 2006 Mercury 250xs's outboard with 530 hours. Custom Wrap, Seating for 6 and LED's all inside the cockpit. Comes with dual axle trailer. Excellent beach boat with style! $23,995 or best offer",,5896909335,26.606500,24,-81.950200,,"https://maps.google.com/maps/preview/@26.606500,-81.950200,16z",,$23995,power, (Cape Coral),Aronow Cat Custom with Mercury 250xs,https://fortmyers.craigslist.org/lee/boa/5896909335.html,
9,,"['26.282300', '-81.757300']",2016-12-18 20:37,"I have  2007 Sea Ray 175 Sport for sale in great condition (turn key) with trailer Comes with all the necessary safety equipment and boat cover Selling it because I want to upgrade to a bigger boat -Just spent $2000 on the boat to get it in great condition -Special paint to counter barnacle growth on the hull -Up to 7 people -Ideal for wake boarding, water skiing and tubing -can go up to 40mph in ideal conditions If you have any questions, please send me a text, call or send me an email.",,5924881154,26.282300,18,-81.757300,,"https://maps.google.com/maps/preview/@26.282300,-81.757300,16z",,$12780,power,,Boat - Sea Ray 175 Sport 2007,https://fortmyers.craigslist.org/col/boa/5924881154.html,
