,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['32.530800', '-92.643900']",2016-12-20 19:42,Great hard running motor no problems what so ever fresh oil change etc elec-pull start power tech stainless prop included CASH,75,5927615438,32.530800,75,-92.643900,Parsun,"https://maps.google.com/maps/preview/@32.530800,-92.643900,16z",Parsun,$3700,power,,Parsun-Yamaha 25 4 stroke,https://monroe.craigslist.org/boa/5927615438.html,2011
1,good,"['32.292200', '-92.437400']",2016-12-20 15:11,"2001 MASTERCRAFT 210VRS WAKE BOARD BOAT, VIN MBCHUB25M001, C/W 2001 MASTERCRAFT TANDUM AXLE TRL. W/TITLE, MASTERCRAFT EFI ENGINE, INBOARD, TOWER, BOARD RACKS, OWNED BOAT SINCE 2004, NO ISSUES JUST DON'T USE, LAKE READY. FOR ADDITIONAL INFO CALL RICK",,5927300446,32.292200,21,-92.437400,MASTERCRAFT,"https://maps.google.com/maps/preview/@32.292200,-92.437400,16z",210 VRS,$21500,power, (chatham),2001 MASTERCRAFT 210VRS WAKE BOARD BOAT,https://monroe.craigslist.org/boa/5927300446.html,2001
2,good,"['32.213100', '-94.783400']",2016-12-20 14:09,"fully welded hull, NO rivets to leak 40HP engine lake ready 40 pound thrust minn kota trolling motor spare tire for trailer 2 good tires on ground lights work title to boat in hand registration for trailer with VIN you see it here. price firm.  ready for hunting, fishing or what ever.",85,5924401725,32.213100,16,-94.783400,Flatbottom,"https://maps.google.com/maps/preview/@32.213100,-94.783400,16z",16x48,$5750,power," (Henderson, Texas)","1648 Welded Aluminum Jon boat, motor, trailer 40HP lake ready",https://monroe.craigslist.org/boa/5924401725.html,
3,good,"['33.207300', '-92.662900']",2016-12-19 21:15,"19'6 ranger with 175 Yama vmax, 80# fortrex, brand new top of the line trailer tires. Needs a fuel gauge an a tail light.  Has older graphs that could be upgraded.",,5926338078,33.207300,19,-92.662900,Ranger,"https://maps.google.com/maps/preview/@33.207300,-92.662900,16z",461 vs,$12,power,,99 ranger,https://monroe.craigslist.org/boa/5926338078.html,
4,excellent,"['32.522500', '-92.640667']",2016-12-19 21:11,"This is a 2012 Skeeter FX 20 boat in great condition! -GARAGE KEPT -YAMAHA SHO 250 HP MOTOR -3 LOWRANCE HDS GEN2 GRAPHS: 10 INCH, 8 INCH, AND 5 INCH -109 LB THRUST MOTORGUIDE WITH BUILT IN TRANSDUCER -TWO 8 FT POWER POLES PRO SERIES WITH REMOTE AND FOOT PETALS -HYDROWAVE -LIGHTED STORAGE -TANDEM TRAILER WITH SWING AWAY TONGUE -HOT FOOT",,5926322717,32.522500,20,-92.640667,Skeeter,"https://maps.google.com/maps/preview/@32.522500,-92.640667,16z",FX20,$39000,power, (Ruston),2012 Skeeter FX 20 Bass Boat,https://monroe.craigslist.org/boa/5926322717.html,2012
5,excellent,,2016-12-19 10:21,"2009 Xpress H18/ Hyperlift hull. 2009 Evinrude 150 Etec. The boat is 18' 2"" long and the beam is 95"" wide. Motor runs like new. Will run 60 mph on gps with 30 gallons of gas and one person and fishing gear in the boat. SS Raker II 21 pitch prop. Minnkota Maxxum 80lb TM. 30 gal live well. 30 gal fuel tank. Only burn non-ethanol gas. Two Minnkota Anchormate 40's with river anchors. Two bike seats with pedestals and 4  Euro folding fishing seats with pedestals. 5"" Humminbird 597 HD color fish finder/gps with down imaging on the bow. New 7"" Garman Echomap 73sv color fish finder/gps with down and side imaging on the console installed in April 2016 along with new 6"" Jack Plate. Comes with Boat and motor cover. 3 bank battery charger. Aluminum BT trailer with hubs replaced 2yrs ago, new tires and new leaf springs and a brand new cranking Battery installed 8-25-16. Boat has always been kept in garage and is in Excellent Condition. Listed $5000 below NADA Guide. $16,900",,5896541830,,22,,Xpress,,H18,$16900,power, (west Monroe),2009 Xpress H18,https://monroe.craigslist.org/boa/5896541830.html,2009
6,good,"['31.609400', '-91.780800']",2016-12-18 18:20,War eagle boat 17/54 console steer with live well. 70hp Yamaha 4 stroke with 2 years warranty. 2014 diamond city trailer,,5924811217,31.609400,17,-91.780800,War eagle,"https://maps.google.com/maps/preview/@31.609400,-91.780800,16z",754,$16000,power, (Wisner),2014 war eagle 17/54 2014 Yamaha 70hp,https://monroe.craigslist.org/boa/5924811217.html,2014
7,like new,"['32.967300', '-96.980500']",2016-12-16 16:34,"2011 Bayliner 215 bought new in fall of 2012, the boat is in excellent condition with less than 30 hours. Asking $21,500, Book Value is over $28,000. It's been well maintained, serviced, always winterized and stored indoors. This boat has ample storage and seating with a wrap around bench seat with a built-in ice chest, lounger and two captain's seats with the jump seat option. Giant sunpad with removable cushions for a walk through from the large fiberglass swim platform that has a drop down ladder. Nice gauges with chrome bezels, a digital depth finder, AM/FM stereo/cd with MP3 player and an Italian racing steering wheel. Powered by a strong 220hp MerCruiser 4.3L MPI engine. Extra features are a Bimini top and towable bow and cockpit covers. Comes with a matching painted trailer with a swing away tongue and an attached spare tire. This boat's handling and responsiveness is superb with very good fuel efficiency. Please call or text for more information, show contact info",30,5894582454,32.967300,21,-96.980500,Bayliner,"https://maps.google.com/maps/preview/@32.967300,-96.980500,16z",215 BR,$21500,power," (Dallas, TX)",2011 Bayliner 215 BR,https://monroe.craigslist.org/boa/5894582454.html,2011
8,,"['32.524800', '-92.329900']",2016-12-15 21:13,"1436 Jon boat rivet, no leaks,  has a 9.9 evinrude, runs likes Mayweather, trailer has good new tires.  Title in my name ready to be signed over.  Also have troller motor.  I would like to trade for Honda atc's, 250r's or open to just about anything.  I'd rather trade than sell.  But text me and let me know what y'all got.  All I can say is no",,5921195970,32.524800,14,-92.329900,,"https://maps.google.com/maps/preview/@32.524800,-92.329900,16z",,$1200,power, (Calhoun),1436 with 9.9,https://monroe.craigslist.org/boa/5921195970.html,
9,,[],2016-12-14 13:43,"WE ARE NOW OFFERING  ""FREE""  4FT BRACING ON 8FT TALL & TALLER CARPORTS. We sell Carolina Carports for your boat, RV, tractor, cars, trucks, etc. Located on Whites Ferry Rd. at Cooley Rd. road fork behind store in West Monroe. Same Location, Same Brand. Your Local CAROLINA CARPORT DEALER for 14 YEARS !!!  CALL 397-6000.     ""OUR CARPORTS ARE SUPERIOR IN CRAFTSMANSHIP COMPARED TO OTHERS"". PLEASE ASK WHY!!!  397-6000 Call Today! WE WILL BE HERE WHEN OTHERS DISAPPEAR!!!",,5897453374,,21,,,https://maps.google.com/?q=loc%3A+%31%38%31+G%2E+B%2E+Cooley+Rd+West+Monroe+LA+US,,$695,human, (West Monroe Whites Ferry Rd / Cooley Rd),Boat Carports By CAROLINA CARPORTS,https://monroe.craigslist.org/boa/5897453374.html,
