,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.426000', '-92.667700']",2016-12-16 12:35,"Floating boat docks ready for summer. All steel frame 2""x2""x3/16"" angle iron, galvanized, encapsulated floats. Call or visit www.macscovedocks.com 573 999 91six nine We service all lakes and will deliver Docks anywhere. We are an authorized Wahoo dealer. WahooDocks.Com Order this winter and get it in the spring.",,5921899888,39.426000,24,-92.667700,baja,"https://maps.google.com/maps/preview/@39.426000,-92.667700,16z",water,$1,power, (macon),New boat dock,https://kirksville.craigslist.org/boa/5921899888.html,
1,,"['41.294200', '-92.643900']",2016-12-11 08:30,15 ft tracker flat bottom boat and trailer  and a 2015 copperhead mud motor used very little great for shallow water asking $3800 obo will separate show contact info,,5905768087,41.294200,15,-92.643900,,"https://maps.google.com/maps/preview/@41.294200,-92.643900,16z",,$3800,power,,Boat and mud motor,https://kirksville.craigslist.org/boa/5905768087.html,
2,good,"['39.196100', '-92.147200']",2016-12-03 08:26,Nice older aluminum 16 long 48 back of bottom.console carpet.all org.2000 obo.3 titles  in hand .all 1981,,5863623901,39.196100,16,-92.147200,Bass,"https://maps.google.com/maps/preview/@39.196100,-92.147200,16z",,$1750,power, (Centralia. mo),16&48. Bass tracker 11/40 hp mec,https://kirksville.craigslist.org/boa/5863623901.html,1981
3,,,2016-12-01 13:07,"Wanted Open Water Layout Boats. Also known as Lake Erie style. Please let me know what you have and if possible a photo. Thanks! Duck, ducks, decoy, decoys, waterfowl, hunting, goose, geese, river, rivers, lakes, waders, blind, camo, camouflage",,5900952682,,10,,,,,,human,,WANTED - Open Water Layout Boats,https://kirksville.craigslist.org/boa/5900952682.html,
4,,"['34.830500', '-87.656000']",2016-11-29 20:46,We offer high quality products at a great price with. Most items carry a 5 year warranty. Check out our website for a full line of our products. Thanks for looking.,,5880068131,34.830500,2,-87.656000,,"https://maps.google.com/maps/preview/@34.830500,-87.656000,16z",,$80,power, (AL),VORTEX BOAT COVERS - BIMINI TOPS - AND MORE,https://kirksville.craigslist.org/bod/5880068131.html,
5,,[],2016-11-28 10:47,"Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. IN STOCK NOW!!!  HERE'S A 2017 LOWE ST175 POWERED BY A 60HP MERCURY 4 STROKE ENGINE THAT IS SMOOTH, QUIET AND DOES NOT BURN MUCH GAS. COMES WITH: 2 BAITWELLS WITH MINNOW BUCKETS MINNKOTA EDGE 45# 45"" 12V TROLLING MOTOR OPTION (2) FISHING SEATS w/PEDESTALS BOW 3 ACROSS SEATING 23 GALLON BOW AND STERN AERATED LIVEWELLS LOCKING PORT 7'6"" ROD LOCKER PAINTED SINGLE AXLE TRAILER HOOK 3X LOCATOR TILT STEERING OPTION RECESSED TROLLING MOTOR PEDAL OPTION RECIRCULATING PUMP FOR STERN LIVEWELL RATCHET COVER OPTION SPARE TIRE OPTION FINANCING AVAILABLE.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info **may be pictured with optional equipment",,5862386703,,18,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2017 LOWE ST175 W/60HP MERCURY FOUR-STROKE,https://kirksville.craigslist.org/bod/5862386703.html,
6,,[],2016-11-28 10:47,Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. GET IT WHILE YOU STILL CAN! HERE IS AN AWESOME 2016 LOWE CAT 20 IN MOSSY OAK BREAKUP THAT COMES LOADED WITH THE FOLLOWING: MOSSY OAK BREAKUP HUGE 60 GALLON RECIRCULATING BOW LIVEWELL OPTION MINNKOTA EDGE 70# TROLLING MOTOR REAR BAITWELL CATFISH ROD RACK OPTION CENTER SEAT OPTION WASH DOWN SPRAY HOSE SYSTEM (2) PEDESTAL FISHING SEATS OPTION 3 ACROSS BOW PEDESTAL SEAT BASES BOW LIVEWELL DIVIDERS FULL INSTRUMENTATION 12v POWER RECEPTACLE ALUMINUM SINGLE AXLE TRAILER w/BRAKES AND L.E.D. LIGHTING READY FOR THE ELECTRONICS OF YOUR CHOICE FINANCING AVAILABLE......WE TAKE TRADES!!! DEALERSHIP show contact info AFTER HOURS CALL: BRYAN show contact info BRAD show contact info **may be pictured with optional equipment,,5862282211,,20,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2016 LOWE CAT20 W/115HP MERC 4S,https://kirksville.craigslist.org/bod/5862282211.html,
7,,[],2016-11-28 10:47,"Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. Enjoy incredible performance and lasting value with the Roughneck 1860 SC. Like every Lowe Roughneck, the 1860 SC is built to exacting commercial-grade standards, with a variable-deadrise V-hull that provides the ultimate smooth, dry ride. You're in control with a convenient side console layout that offers an intuitive helm station, so operation is flawless. You'll never need another way onto the water once you've commanded a Lowe Roughneck. Standard Features: Forward Aerated Livewell Bow Aerated Livewell (23 gallon) 19 gallon fuel tank Folding driver & passenger seats Rod locker Port rod storage Bow & Rear deck pedestal base Bilge pump & aerator pump Upgraded Features: Windscreen option 2 Folddown seats option Rough liner spray in floor liner option Universal port rod & gun box storage FINANCING AVAILABLE AND TRADE-INS WELCOME.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL: BRAD show contact info BRYAN show contact info **May be pictured with optional equipment",,5862344241,,19,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2016 LOWE RX18SC W/90HP MERCURY 4S,https://kirksville.craigslist.org/bod/5862344241.html,
8,,[],2016-11-28 10:44,"Superior handling and easy-to-use angling features make the Sport Fish 194 the top entry-level fishing pontoon boat for active families. From the stern rod rack to the pedestal fishing seats and every inch of comfy lounge seating in between, this pontoon delivers huge fishability and fun at an unbeatable value. Discover the joy of getting into a new Lowe pontoon boat that's as perfectly equipped for anglers to take their fishing buddies out as it is for spending weekends on the water with the family.  IN STOCK NOW 2017 LOWE SF194 W/ 90HP MERCURY COMMAND THRUST COMES WITH: Standard Features: * Heavy-duty 4 step boarding ladder * Round pedestal table * 4 pedestal fishing seats * Forward aerated livewell * 13 gallon bow aerated livewell * Jensen stereo w/ speakers * 3 Angled stern rod holders w/ 2 cup holders Upgraded Features: * Full vinyl floors * Custom reclining helm seat * Heavy duty bimini top * Wavertamer w/ lifting strakes * Full vinyl floor * Full cover * Painted tandem trailer w/ disc brakes * Standard ski tow FINANCING AVAILABLE.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info *Boat may be pictured with optional equipment",,5862460334,,19,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,**FULL VINYL** 2017 LOWE SF194 W/90HP MERCURY COMMAND THRUST,https://kirksville.craigslist.org/bod/5862460334.html,
9,,[],2016-11-28 09:06,"Looking for that functional hunting or fishing boat?  Look no further!  Angler's Port Marine has a great selection of camo boats to suit your thirst for the thrill of the game. 2016 LOWE PRO SIDE CONSOLE FM165 W/ 90HP MERCURY FOUR STROKE.  COMES WITH: FOUR FOLD DOWN FISHING SEATS MOSSY OAK SHADOWGRASS 20 GALLON AERATED LIVEWELL @ BOW 19 GALLON RECIRCULATING LIVEWELL ELITE 3X FISHFINDER PAINTED SINGLE AXLE TRAILER W/ SWING TONGUE MOTORGUIDE X3 45# 12 V TROLLING MOTOR 7' LOCKING CENTER ROD LOCKER 7' LOCKING STARBOARD ROD LOCKER Financing available with approved credit, we take trades, call us today! Dealership show contact info After hours call: Bryan show contact info Brad show contact info * may be pictured with optional equipment",,5862321657,,17,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,2016 LOWE FM165 W/60HP MERCURY 4STROKE,https://kirksville.craigslist.org/bod/5862321657.html,
10,,[],2016-11-28 09:05,"Spacious, comfortable and well equipped, the Lowe Stinger 195 is a multi-species fishing champ that exceeds all expectations. Designed with the movement of a fisherman in mind, this vessel was created for maximum angling space and huge capability. Two livewells, including a 23-gallon aerated livewell in the bow, make sure your catches stay fresh, while a Lowrance Hook 3x fishfinder provides the technology to help find them. A convenient side console helm layout with 3-across seating provides for easy navigation and comfort for you and your passengers. And thanks to the Lowe lifetime limited warranty and award-winning customer satisfaction, you can count on this mod-V fishing machine for many years to come. HERE'S A 2017 LOWE ST195 W/ 115HP MERCURY FOUR STROKE.  FEATURES INCLUDE: All-aluminum construction Heavy-duty extruded one-piece center keel Pro Trac™ mod-V hull 16 oz. charcoal marine carpet 19-gallon built-in fuel tank Console w/ tinted windshield & soft-grip wheel Plug & play instruments (tack, speed, fuel & trim) Switch panel w/ tip lit toggle switches Motorguide X3 45 12V trolling motor Tilt steering option Jensen Stereo and 2 speakers option Recessed trolling motor foot pedal option 2 bank battery charger option 23-gallon stern aerated livewell & baitwell w/ minnow bucket Recirculating pump for stern livewell option Baitwell w/ minnow bucket Driver and passenger seats, center seat w/ step, and 2 pedestal fishing seats w/ bases Locking 8' port and 6'6"" starboard rod lockers Single axle trailer w/ swing tongue and steel fenders & step boxes Dual bank battery charger option Elite 3x fishfinder Spare tire FINANCING AVAILABLE.......CALL US TODAY!! DEALERSHIP show contact info AFTER HOURS CALL BRYAN show contact info BRAD show contact info **may be pictured with optional equipment",,5862507061,,20,,,https://maps.google.com/?q=loc%3A+%31%33%39%37%39+HWY+%37+WARSAW+MO+US,,,power,,**NEW GRAPHICS** 2017 LOWE ST195 W/115HP MERCURY 4S,https://kirksville.craigslist.org/bod/5862507061.html,
11,excellent,[],2016-11-26 12:12,SUPER CLEAN 98 CHAPARRAL!!!  BEST PRICE ON A CLEAN 25 FOOT BOAT I'VE SEEN IN A LONG WHILE,0,5893167996,,25,,Chaparral,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,252 SUNESTA,$22900,power, (Osage Beach),"1998 Chaparral 252 SUNESTA, BIG BLOCK 7.4",https://kirksville.craigslist.org/bod/5893167996.html,1998
12,,"['39.748100', '-92.462200']",2016-11-25 18:34,1995 champion bass boat 115 hp mercury trolling motor 2 fish finders many other options Needs powertrim motor rebuilt 4500 obo show contact info,,5875667395,39.748100,17,-92.462200,,"https://maps.google.com/maps/preview/@39.748100,-92.462200,16z",,,power,,1995 champion bass boat,https://kirksville.craigslist.org/boa/5875667395.html,
13,excellent,[],2016-11-25 12:17,SMALL CUDDY CRUISER! WE JUST TRADED. NICE CRUISER FOR A FAMILY. COME CHECK IT OUT.,397,5891771964,,25,,Four Winns,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,258 Vista,$19995,power, (Osage Beach),"1998 Four Winns 258, Pocket Cruiser",https://kirksville.craigslist.org/bod/5891771964.html,1998
14,good,[],2016-11-25 12:13,THIS IS A COOL LITTLE BOAT WITH LOTS OF CHARACTER!!!! HAS A TOWER WITH WAKE BOARD RACKS AND FULL BIMINI!!!! LOTS OF STOWAGE COME CHECK IT OUT BEFORE IT'S TO LATE!!!!,,5891775620,,21,,Chaparral,https://maps.google.com/?q=loc%3A+%34%33%37%30+Osage+Beach+Parkway+Osage+Beach+MO+US,204 SSi,$19995,power, (Osage Beach),2004 Chaparral 204 SSi,https://kirksville.craigslist.org/bod/5891775620.html,2004
