,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['28.014000', '-81.952300']",2016-12-11 19:19,"This is a beautiful boat with about 258 original hours. It has been adult owned and sat covered under a boat lift for its life. This vessel has been kept in very good condition by her owner. One thing that will jump out is the condition of the seats in the cockpit, the headliner and the interior fabrics. Services have been performed regularly from 1998-2013 and the vessel looks great. Boat has V8 mercrusier 5.0 sterndrive with 258 hours. The boat is now on a trailer and has been moved to land. We have covered it with tarp but obviously it belongs back into the water. Needs: fuel water filter replaced, a seasonal maintenance to check everything and it's good to go. The accessory battery has also been taken out because it was dead. I might consider an offer or trade-up or down. Let me know what you have?",258,5897968462,28.014000,27,-81.952300,Maxum,"https://maps.google.com/maps/preview/@28.014000,-81.952300,16z",2400 SCR,$15000,power, (Lakeland),Maxum 2400 SCR OBO/Trade,https://lakeland.craigslist.org/boa/5897968462.html,1998
1,good,"['27.981000', '-81.673600']",2016-12-11 18:13,1995 Javelin 377 18' bassboat for sale. It has a 1995 115 Evinrude that runs great. The boat has 2 new batteries I bought 3 weeks ago. Very dependable boat . I've owned it over 10 years and never had a problem with it. Clean title in hand . Sale or trade Asking 4900.00,,5915387604,27.981000,18,-81.673600,Javelin,"https://maps.google.com/maps/preview/@27.981000,-81.673600,16z",377,$4900,power, (Winter Haven),Bass boat 1995 Javelin 377 18',https://lakeland.craigslist.org/boa/5915387604.html,1995
2,,,2016-12-11 17:47,2013 13' fast and furious predator w 0540 Lycoming  straight valve 260 hp built by greg smith low hrs. Just had 100 shot nitrous installed by william Taylor. Boat has low hrs and is still on original  slick bottom. Also has seniench 3 blade h series prop. Serious inquires only Call Cody show contact info,50,5915358202,,13,,Predator,,,$18000,power, (Lakeland),2013 predator O540 airboat,https://lakeland.craigslist.org/boa/5915358202.html,2013
3,excellent,"['28.058953', '-81.724720']",2016-12-11 16:33,"2007 Glastron GT 185. Brand new Bluetooth/Cd Player Radio with new Sony Xplod speakers. Boat is super clean. Ski platform is great for getting in and out of the water. 125 hours on the engine. Brand new trailer tires, boat is lake ready, come take it for a test drive. Please call ahead to make an appointment, serious buyers only. The boat has been fully serviced and is ready to go. Title in hand, $12,500 obo. Call or text at 407-967-One Zero Eight One.",125,5915267631,28.058953,19,-81.724720,Glastron,"https://maps.google.com/maps/preview/@28.058953,-81.724720,16z",GT 185,$9000,power, (Orlando),2007 Glastron GT 185,https://lakeland.craigslist.org/boa/5915267631.html,2007
4,,[],2016-12-11 16:27,ENJOY THE WATERS OF FLORIDA.... CAROLINA SKIFFS FOR RENT! PERFECT FOR FISHING OR JUST CRUISING THE BAY!! SEVERAL BOATS TO CHOOSE FROM. ALL ARE OUTFITTED WITH GPS/FISH FINDER BIMINI TOPS LIVE WELLS DEPTH FINDERS WE DELIVER TO YOU OR COME AND GET IT AND TAKE IT WHERE YOU WANT TO GO! DAILY /WEEKLY/ MONTHLY RATES,,5899250047,,19,,,https://maps.google.com/?q=loc%3A+%31%30%30%35+Riverside+Dr+PALMETTO+FL+US,,$200,power,,BOATS FOR RENT,https://lakeland.craigslist.org/boa/5899250047.html,
5,,"['28.075800', '-81.592900']",2016-12-11 15:50,The boat is a Lowe 14 Foot semi-v aluminum John boat. The hull is in good shape and has a modified center platform. The boat comes with a trailer that has newly replaces bearings and newly wired lights. This is a very stable and solid boat with absolutely no leaks anywhere. The johnson did run a year ago but will not start anymore. The price is slightly negotiable so don't hesitate to offer. This is a great fishing platform as it's really wide and doesn't tip at all. My phone number is under the contact button.,,5915211854,28.075800,14,-81.592900,Lowe,"https://maps.google.com/maps/preview/@28.075800,-81.592900,16z",,$600,power, (Haines City),Lowe 14 Foot Semi-V Aluminum Boat,https://lakeland.craigslist.org/boa/5915211854.html,
6,good,"['26.911249', '-81.768989']",2016-12-11 15:49,17 foot Aluminium V Haul Boat with Trailer For Sale Project boat. Finish it your way. 115hp Evinrude motor - runs. Extra parts.,,5915210753,26.911249,17,-81.768989,,"https://maps.google.com/maps/preview/@26.911249,-81.768989,16z",,$2395,power,,17 foot Aluminium V Haul Boat with Trailer For Sale,https://lakeland.craigslist.org/boa/5915210753.html,
7,,[],2016-12-11 14:52,"I have an 89 Rogue skiff 17 ft by 5 ft with a 89 Mercury 45 hp, motor runs. Has a new power pack and rebuilt water pump less than a month ago, tilt motor went out but can still be manually tilted up and down. 36 lb great white trolling motor battery and an anchor Text me, I work night so pretty much anytime is okay.",,5915133837,,17,,Mercury,https://maps.google.com/?q=loc%3A+%33%38%37%37+Feather+Drive+Lakeland+FL+US,45 Classic,$1500,power, (Lakeland),17ft Skiff for sale or Trade for gheenoe,https://lakeland.craigslist.org/boa/5915133837.html,1989
8,fair,,2016-12-11 14:47,1992 sylvan bay boat 110 Johnson on boat 90 for parts low compression in one cylinder but does run 2500 or trade for 4x4 toys ??? text offers thanks,,5890650809,,17,,sylvan,,bay boat,$1500,power, (Kathleen),1992 sylvan bay boat,https://lakeland.craigslist.org/boa/5890650809.html,
9,,[],2016-12-11 14:23,"I am selling my Mercury 3.5 outboard motor (Four Stroke) Short Shaft (15""). I bought it new in 2012 but it was a 2011 motor. I ran 2 tanks of gas through it in Little Lake Agnes while living at the Lee Lynn RV Park. I bought this small motor so that I could take it off the boat and store it after each use. After purchasing a house, it has been setting in my garage for 2 1/2 years. I am confident this will be a great motor for you, if you are needing a small motor. It will push a Jon Boat just fine. It is just a little too small for the boat I just purchased. It runs great! It is in Like New Condition. It will come with an extra propeller. You may call , text , or email for any questions that you might have. / show contact info Please put  3.5Hp  in subject line of return email.",15,5915093575,,15,,Mercury,https://maps.google.com/?q=loc%3A+%31%30%30%39+Timbergreen+Dr%2E+Lakeland+FL+US,3.5 HP,$725,power, (North Lakeland),2012 3.5 HP Mercury Short Shaft Four Stroke,https://lakeland.craigslist.org/boa/5915093575.html,2012
