,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,[],2016-12-11 19:25,"36 foot Wellcraft Martinique (1999) This boat has two gas engines 386 hp. It comes with a spare engine. Engines are not running because saltwater went though risers. Engines need simple disassembly, flush and rebuild. Every thing else on this boat is in excellent condition and complete; including, 8 kw Kohler generator with sound shield, vacu flush heads, bamboo flooring, new refrig. 2015, new air con. 2015, 3 tvs, complete interior and accessories, excellent condition canvas, complete electronics. A MUST SEE INTERIOR. Docked in Palm Coast Excellent Value and motivated seller. $34,000 Call for any more details or showing - Scott show contact info or Jim show contact info",10,5915465277,,36,,Wellcraft,https://maps.google.com/?q=loc%3A+AIA+at+Camino+del+Mar+Palm+Coast+FL+US,3600 Martinique,$34000,power, (Palm Coast),36 foot Wellcraft,https://jacksonville.craigslist.org/boa/5915465277.html,1999
1,,"['30.450700', '-81.662600']",2016-12-11 19:15,330h only good condition the seats have same cracks runs perfect,330,5887345980,30.450700,21,-81.662600,,"https://maps.google.com/maps/preview/@30.450700,-81.662600,16z",,$5499,power, (Reflection Cove Rd E),1999 SEA RAY SEARAY 210 Boat with Trailer,https://jacksonville.craigslist.org/boa/5887345980.html,
2,,,2016-12-11 19:09,"Highly Versatile and beautiful Adirondack Guideboat 15 with Piantedoso Ro-Wing. Custom hand built in Maine by East West Custom Boats. 298 cm Sculling Oars. Current Ohio Registration. Hand Laid Hull with cloth and roving in isothalic resin. Varnished Mahogany Gunnels and nose pieces. Positive seal scupper hole with lock out. Hull weight only 70lb with positive sealed flotation in the bow and stern compartments. Length: 15 ft 9 inches. Beam 37"" at shear, 18"" at waterline. Draft 4"". Two rowing trim positions, 2 cane passenger seats. Sliding seat has quick removable padding over wood. Retail is $5430 new, ordered in advance, excluding freight. Excellent for cross training, the Guideboat 15 will row all day at 5 mph easy, 6 to 7 mph with moderate exertion, and 8 to 10 mph at race pace by seasoned scullers. This Guideboat design has covered the 65 mile round trip Lake George to Ticonderoga distance in record time consistently over the last six years, making the 65 mi run in less than 12 hours, without the sliding seat unit! As to versatility, the Guideboat 15 can carry a multitude of gear and people very efficiently in calm or rough water conditions. Unlike racing shells the Guideboat 15 will row right through motorboat wakes, wind chop and small surf. This hull is among the driest of all rowboats. the Guideboat 15 has one of the two fastest traditional Guideboat hull designs while also retaining a high degree of stability in the water. It is an excellent training boat, fishing boat, family boat or cruising boat because of it's stability. As is the case with all Guideboats the more weight that is carried the more stable they become due to their superior designed ""V"" shaped hull. It tracks beautifully without a fin and only draws a few inches of water with people and gear aboard.",,5895671164,,15,,,,,$2400,human, (central ohio),"Adirondack Guideboat 15, Custom Built, Ro-Wing, Sculling Oars",https://jacksonville.craigslist.org/boa/5895671164.html,
3,,"['30.247712', '-81.806858']",2016-12-11 19:04,"Imperial VC-230 cuddy cabin by All Seasons Industries, guessing late 80's.  Great winter project.  Not parting out.  Trailer is a galvanized dual axle.  Back axle has hydraulic brakes.  Bearing buddy on each hub.  No wheels or tires.  Lug pattern is 5 x 4.5.  I used some 15"" wheels to get it and they scrub the fenders so you might need something smaller, put wood blocks between the springs and frame to raise the fenders off the tires or just take the fenders off.  The boat hull is about 22' and if you include the railing on the front it's about 25'.  The motor is a V8.  I couldn't turn it by hand so maybe it's just stuck from sitting or could be damaged, I'm not sure.  The oil looks good.  I don't have the title.  If you need a title, the tax office can contact the last registered owner or Tallahassee can tell you who it is so you can contact them.  Not available Saturdays.",,5886046511,30.247712,22,-81.806858,,"https://maps.google.com/maps/preview/@30.247712,-81.806858,16z",,$500,power, (westside 103rd),"boat, V8 motor, outdrive and trailer",https://jacksonville.craigslist.org/boa/5886046511.html,
4,good,"['30.064028', '-84.294405']",2016-12-11 18:57,"Well maintained 2005 Beneteau Oceanis 343. A quick and comfortable yacht that allows two couples or a family to cruise in comfort and safety. Suitable for trips to the Florida Keys, Bahamas and Mexico. This series of Beneteau Yachts is fast and beamy that will get you there quickly and comfortably. The boat has been lovingly looked after and has provided many smiles, sunsets and adventures afloat. It often serves as our condo at the beach as it is an affordable alternative to a beach house. The layout of the cockpit and the salon is welcoming and suitable for entertaining friends whether underway or at anchor. The ""sugar scoop"" transom makes it easy to come and go for swimming and by dinghy. Features include: • Yanmar diesel engine, Model YM30, 30 HP • Two cabin layout for privacy • Rotating helm station to allow easy passage through the cockpit when not underway • L-shaped galley with great ventilation • Bimini top and dodger • Cockpit cushions • Large head with separate shower area • 16,000 BTU dual air A/C with heat (2014) • North Sails mainsail with stack pack (2015) • North Sails 130% roller furled genoa (2016) • Control lines lead to cockpit for solo and short-handed sailing • OceanAire blinds throughout • Raymarine autopilot • GPS chart plotter • Sony stereo with CD/AM/FM • VHF radio • Hot and cold pressurized water with cockpit shower • Recent survey available (2014) • Propone stove and range, and • Top loading refrigerator For additional questions, calls only please, no texts. $69,900 or best reasonable offer.",,5889106598,30.064028,35,-84.294405,Beneteau,"https://maps.google.com/maps/preview/@30.064028,-84.294405,16z",Oceanis 343,$69900,sail,,Proven cruiser with great amenities,https://jacksonville.craigslist.org/boa/5889106598.html,2005
5,good,"['27.049800', '-82.128800']",2016-12-11 18:43,"This boat has been well maintained and is in very good condition for its age.You can come and see it. This comes with: garmin gps furuno sonar jensen marine am/fm stereo vhf marine tansceiver ic-m402s apelco vhf 5160 nmea 2000 networks lowrance lmf-400 multifuction gauge steering sea star set for two engines trim tabs for smoother ride 10 gallons fresh water tank new 100 gallons gas tank 2 battery anchor with 200 ft line porta potty live well washdown pump hart top with 7 rod holders original grady white braket for two motors 24 ft loadrite trailer in fair condition. It has some rust but it is able to transport the boat without any problems. Yamaha 250hp is in very good conditions, it was rebuilt 2 years ago by a professional Marine. I have all documentation.",60,5915395886,27.049800,24,-82.128800,grady white,"https://maps.google.com/maps/preview/@27.049800,-82.128800,16z",offshore,$13000,power, (north port),1987 grady white 248G offshore,https://jacksonville.craigslist.org/boa/5915395886.html,1987
6,,"['29.797600', '-81.989900']",2016-12-11 18:32,"20 foot Gator Tilt Trailer reconditioned. New lights, New fenders, New pressure treated bunks, New Jack, New winch, 14 inch tires excellent condition. $1250.00 Three 5 Two 3 one 8 zero 8 four 9 Thank you",,5894786931,29.797600,20,-81.989900,,"https://maps.google.com/maps/preview/@29.797600,-81.989900,16z",,$1250,power,,Boat Trailer Gator Tilt,https://jacksonville.craigslist.org/boa/5894786931.html,
7,excellent,,2016-12-11 18:00,I have for sale and 8 HP Johnson with tiller steering. This motor is a short shaft. The motor is in excellent condition.It has been garage kept. It has very low hours. It is very clean inside and out. Used in fresh water only. Asking $750.00 OBO Call with any questions.,8,5915352919,,20,,Johnson,,8 hp,$750,power, (Jacksonville),8hp Johnson outboard,https://jacksonville.craigslist.org/boa/5915352919.html,0
8,good,"['30.322915', '-81.413219']",2016-12-11 17:43,"Text or email John at show contact info or Chris at show contact info Brand new T-Top is on now from Custom Marine VIN: ANGR0128H405 Hours on the engine: Less then 100 Type: Power Year: 2005 Length: 22′ Engine: Yamaha 2 stroke Engine Count: Single Engine Hours: under 100 Drive: OB Horsepower: 250 Fuel: Gas Hull Material: Glass Beam: 8′ 6″ Condition: Good Trailer: Serial# - 4YPAB23265T037065 Type - Aluminum Brakes - No Condition -Fair Not interested in calls or senseless offers. if you want the boat, have money ready to go and email me and i will call u back. If u need to ask your wife or bank for permission, pls do that before contacting me.",100,5915314934,30.322915,22,-81.413219,Angler,"https://maps.google.com/maps/preview/@30.322915,-81.413219,16z",2200 Grand Bay,$15900,power, (Neptune Beach),2005  ANGLER  2200 GRAND BAY  with Yamaha 250 HP Fishing Boat  22 Feet,https://jacksonville.craigslist.org/boa/5915314934.html,
9,good,"['30.323286', '-81.412704']",2016-12-11 17:23,"Text or email John at show contact info or Chris at show contact info VIN: ANGR0128H405 Hours on the engine: Less then 100 Brand new T Top is on Type: Power Year: 2005 Length: 22′ Engine: Yamaha Engine Count: Single Engine Hours: under 100 Drive: OB Horsepower: 250 Fuel: Gas Hull Material: Glass Beam: 8′ 6″ Condition: Good Trailer: Serial# - 4YPAB23265T037065 Type - Aluminum Brakes - No Condition -Fair Not interested in calls or senseless offers. if you want the boat, have money ready to go and email me and i will call u back. If u need to ask your wife or bank for permission, pls do that before contacting me.",100,5915314384,30.323286,22,-81.412704,Angler,"https://maps.google.com/maps/preview/@30.323286,-81.412704,16z",2200 Grand Bay,$15900,power, (Neptune Beach),2005  ANGLER  2200 GRAND BAY  with Yamaha 250 HP Fishing Boat  22 Feet,https://jacksonville.craigslist.org/boa/5915314384.html,2005
