,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,[],2016-12-20 12:23,"Sea Ray Sport boat with Inboard/Outdrive 3.0L/135 HP Alpha Mercruiser engine. Single axle trailer, Sunbrella convertible top, curved walk-thru glass windshield, stainless prop",,5927040218,,18,,Sea Ray,https://maps.google.com/?q=loc%3A+%31%37%31%33+Whitney+TX+US,180 Bow Rider,$5999,power, (Lake Whitney Marina),1998 Sea Ray 180 Bow Rider,https://waco.craigslist.org/boa/5927040218.html,1997
1,like new,[],2016-12-20 12:09,PRICE REDUCED Like new Tritoon Boat Lift. Raise your Tritoon boat in a wet slip at Lake Whitney Marina or move it to your new location.,,5927017356,,24,,Htdrohoist,https://maps.google.com/?q=loc%3A+%31%37%31%33+Whitney+TX+US,Tritoon,$5000,power, (Lake Whitney Marina),Tritoon Hydrohoist Boat Lift,https://waco.craigslist.org/boa/5927017356.html,
2,good,[],2016-12-20 12:02,PRICE REDUCTION FOR: 14.0 foot 1970 aluminum boat with 1995 20 horsepower Mercury outboard and single axle trailer. Can be seen at Lake Whitney Marina @ Juniper Cove.,,5927006566,,14,,Mirrowcraft,https://maps.google.com/?q=loc%3A+%31%37%31%33+Whitney+TX+US,,$1550,power, (Lake Whitney),Aluminum Fishing Boat,https://waco.craigslist.org/boa/5927006566.html,1970
3,excellent,[],2016-12-20 11:57,End of Year Special. Victoria 18 Sloop with mainsail & jib.  Single axle trailer.,,5926997506,,18,,Victoria Yachts,https://maps.google.com/?q=loc%3A+%31%37%31%33+Whitney+TX+US,Victoria 18,$4250,sail, (Lake Whitney Marina),1981 Victoria 18 Sailboat,https://waco.craigslist.org/boa/5926997506.html,1981
4,,"['32.059882', '-97.366676']",2016-12-20 09:35,"1.8 mi north of WhiteBluff on FM 933.Drive thru boat spaces { 10 x 25 },fully partitioned,lock both ends $25. A few minis available 10 x 10 $ 20, 10 x 15 $30. show contact info or show contact info",,5894300342,32.059882,0,-97.366676,,"https://maps.google.com/maps/preview/@32.059882,-97.366676,16z",,,power,,Lake Whitney-Hilltop Boat and Mini Storage,https://waco.craigslist.org/boa/5894300342.html,
5,,"['31.791800', '-97.520300']",2016-12-20 07:25,Would like to trade for double jet ski trailer  truck runs no title will give bill of sale,,5920134937,31.791800,1,-97.520300,,"https://maps.google.com/maps/preview/@31.791800,-97.520300,16z",,$1,power, (Waco/chainasprings),Truck/ trade,https://waco.craigslist.org/boa/5920134937.html,
6,,,2016-12-19 18:07,"Selling my jetski got on a trade a few years ago runs great and is very fast, just don't use it. No title but I have bill of sale from the guy I got it from. Make offer show contact info",,5917039530,,8,,Sea doo,,,$1000,power,,Sea doo jetski,https://waco.craigslist.org/boa/5917039530.html,
7,,"['31.192500', '-97.058100']",2016-12-19 16:34,"2005 180W Lower Ski/Fishing Boat, Canopy, Set of Skies, Kneeboard - $8,000 OBO",,5926044911,31.192500,18,-97.058100,,"https://maps.google.com/maps/preview/@31.192500,-97.058100,16z",,$7000,power, (Lott),Lowe Ski/Fishing Boat,https://waco.craigslist.org/boa/5926044911.html,
8,,"['31.417700', '-97.833000']",2016-12-19 14:23,"Have an old all aluminum sport boat, 35hp evinrude, don't know much about it, no title, but it's all there and solid shape, does not run, been sitting a while 750$",,5925828444,31.417700,16,-97.833000,,"https://maps.google.com/maps/preview/@31.417700,-97.833000,16z",,,power,,1960's razorback runabout,https://waco.craigslist.org/boa/5925828444.html,
9,like new,,2016-12-19 13:29,"The perfect Fishing Reel . for big blue cat or surf . Shimano  T.R,200 G . cost new $74.90 . Used is about $65.95 .  Reel has been cleaned - oiled and checked out . Comes with 30 day warranty . $ 50.00 . I also have a 11ft. surf rod made by Mighty Surf . Has 1 joint . Like new condition $ 50.00 . Buy the combo for $90.00 .     I also clean - oil - repair all brand fishing reels .",00,5925769314,,11,,shimano,,"T.R, 200 G",$50,human, (Lake Mexia Tx),FISHING REEL,https://waco.craigslist.org/boa/5925769314.html,2000
